,tickerPair,month_id,ticker2,Date,ticker1,month,new_month,Spread1,Spread2,ratio,isPair,Spread1.log,Spread2.log,ratio.log
679,ABX|NEMCRP,32,NEMCRP,9/6/2013,ABX,9,FALSE,245.73,249.275,0.985778758,FALSE,5.504233372,5.518556705,0.997404515
680,ABX|NEMCRP,32,NEMCRP,9/9/2013,ABX,9,FALSE,242.955,246.625,0.985119108,FALSE,5.492876241,5.507868964,0.997277945
681,ABX|NEMCRP,32,NEMCRP,9/10/2013,ABX,9,FALSE,253.89,257.21,0.987092259,FALSE,5.536901102,5.549892872,0.997659095
682,ABX|NEMCRP,32,NEMCRP,9/11/2013,ABX,9,FALSE,258.555,266.19,0.97131748,FALSE,5.555108437,5.58421034,0.994788538
683,ABX|NEMCRP,32,NEMCRP,9/12/2013,ABX,9,FALSE,278.69,284.855,0.97835741,FALSE,5.630100053,5.651980279,0.99612875
684,ABX|NEMCRP,32,NEMCRP,9/13/2013,ABX,9,FALSE,278.895,286.78,0.972505056,FALSE,5.630835367,5.658715371,0.995073086
685,ABX|NEMCRP,32,NEMCRP,9/16/2013,ABX,9,FALSE,266.97,277.48,0.962123396,FALSE,5.587136293,5.625748859,0.993136458
686,ABX|NEMCRP,32,NEMCRP,9/17/2013,ABX,9,FALSE,262.545,275.53,0.952872645,FALSE,5.570422496,5.618696516,0.991408324
687,ABX|NEMCRP,32,NEMCRP,9/18/2013,ABX,9,FALSE,241.78,249.805,0.967874942,FALSE,5.488028222,5.520680614,0.994085441
688,ABX|NEMCRP,32,NEMCRP,9/19/2013,ABX,9,FALSE,240.535,248.15,0.969312916,FALSE,5.482865609,5.514033402,0.994347551
689,ABX|NEMCRP,32,NEMCRP,9/20/2013,ABX,9,FALSE,271.155,279.435,0.97036878,FALSE,5.602690613,5.632769707,0.994659982
690,ABX|NEMCRP,32,NEMCRP,9/23/2013,ABX,9,FALSE,272.08,279.27,0.974254306,FALSE,5.606096141,5.632179056,0.995368948
691,ABX|NEMCRP,32,NEMCRP,9/24/2013,ABX,9,FALSE,272.125,279.14,0.974869241,FALSE,5.60626152,5.631713448,0.995480607
692,ABX|NEMCRP,32,NEMCRP,9/25/2013,ABX,9,FALSE,271.105,276.81,0.979390195,FALSE,5.6025062,5.62333135,0.996296652
693,ABX|NEMCRP,32,NEMCRP,9/26/2013,ABX,9,FALSE,267.175,272.905,0.979003683,FALSE,5.587903874,5.609123749,0.9962169
694,ABX|NEMCRP,32,NEMCRP,9/27/2013,ABX,9,FALSE,265.835,274.115,0.9697937,FALSE,5.582875816,5.613547726,0.994536092
695,ABX|NEMCRP,32,NEMCRP,9/30/2013,ABX,9,FALSE,269.21,276.89,0.972263354,FALSE,5.595491744,5.623620315,0.994998138
696,ABX|NEMCRP,33,NEMCRP,10/1/2013,ABX,10,TRUE,282.845,293.01,0.965308351,FALSE,5.644899044,5.680206738,0.993784083
697,ABX|NEMCRP,33,NEMCRP,10/2/2013,ABX,10,FALSE,272.13,283.935,0.958423583,FALSE,5.606279893,5.648745339,0.992482323
698,ABX|NEMCRP,33,NEMCRP,10/3/2013,ABX,10,FALSE,274.49,288.995,0.94980882,FALSE,5.61491483,5.666409387,0.990912313
699,ABX|NEMCRP,33,NEMCRP,10/4/2013,ABX,10,FALSE,271.755,289.665,0.938169955,FALSE,5.604900925,5.668725083,0.988741003
700,ABX|NEMCRP,33,NEMCRP,10/7/2013,ABX,10,FALSE,270.595,288.53,0.937840086,FALSE,5.600623238,5.664799067,0.98867112
701,ABX|NEMCRP,33,NEMCRP,10/8/2013,ABX,10,FALSE,274.805,290.725,0.945240347,FALSE,5.616061755,5.672377803,0.99007188
702,ABX|NEMCRP,33,NEMCRP,10/9/2013,ABX,10,FALSE,273.67,292.86,0.93447381,FALSE,5.611923001,5.679694679,0.988067725
